EXERCISES,,,,,,,,,,,test1,,
1.,"I'm trying to build a model that will predict churn.  I see we have three variables, tenure, monthly_charges and total_charges.  I'm wondering if I should use all three of those variables or if the same information can be gained by just 1 or 2 of the variables.   Use correlation tests to measure the linear correlation between each pair of variables.  Test the significance of these, using a confidence interval of .95.  Given those results, which variable(s) should I exclude from my model?  Explain your reasoning.   Provide the following values in running your test:  alpha, n, degrees of freedom, pearon's r, t statistic, p-value.  ",,,,,,,,,,,,explaination:
,,V1,V2,,,CI,alpha,n,df,r,t,p-value,
,test 1,tenure,monthly_charges,,,0.95,,,,,,,
,test 2,tenure,total_charges,,,0.95,,,,,,,
,test 3,monthly_charges,total_charges,,,0.95,,,,,,,
,,,,,,,,,,,,,
2,"What if you control for phone and internet service?   Use correlation tests to measure the linear correlation between tenure and total_charges for each group of customers. Test the significance of these, using a confidence interval of .95. Is there more correlation if you control for these two variables when running your correlation test? Provide n, degrees of freedom, pearson's r, t statistic, p-value. What does that do to your confidence in deciding to remove a variable or variables?    Explain how. ",,,,,,,,,,,,explaination:
,,V1,V2,has_phone,has_internet,CI,alpha,n,df,r,t ,p-value,
,test 1,tenure,total_charges,1,0,0.95,,,,,,,
,test 2,tenure,total_charges,1,1,0.95,,,,,,,
,test 3,tenure,total_charges,0,1,0.95,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
tenure,has_phone,has_internet,monthly_charges,total_charges,total1,total2,total3,,,,,,
0,1,0,20,155.8,155.8,,,,,,,,
0,1,0,19.7,140.1,140.1,,,,,,,,
0,1,0,20.25,146.65,146.65,,,,,,,,
0,1,0,19.85,154.8,154.8,,,,,,,,
1,1,0,19.85,36.55,36.55,,,,,,,,
1,1,0,19.7,98.5,98.5,,,,,,,,
1,1,0,20.9,96.8,96.8,,,,,,,,
1,1,0,20.25,145.4,145.4,,,,,,,,
1,1,0,20.45,193.8,193.8,,,,,,,,
1,1,0,19.3,39.85,39.85,,,,,,,,
1,1,0,19.55,134.6,134.6,,,,,,,,
1,1,0,19.65,91.1,91.1,,,,,,,,
1,1,0,20.1,156.35,156.35,,,,,,,,
1,1,0,19.05,188.1,188.1,,,,,,,,
1,1,0,19.55,48.35,48.35,,,,,,,,
1,1,0,19.85,174.8,174.8,,,,,,,,
1,1,0,20.15,132.4,132.4,,,,,,,,
1,1,0,19.25,74.2,74.2,,,,,,,,
1,1,0,20.35,154.3,154.3,,,,,,,,
1,1,0,19.85,134.35,134.35,,,,,,,,
1,1,0,19.75,151.75,151.75,,,,,,,,
1,1,0,19.65,145.15,145.15,,,,,,,,
1,1,0,20.1,134.05,134.05,,,,,,,,
1,1,0,20.05,42.45,42.45,,,,,,,,
1,1,0,19,87.3,87.3,,,,,,,,
1,1,0,20.2,108.15,108.15,,,,,,,,
1,1,0,19.55,78.65,78.65,,,,,,,,
1,1,0,19.2,190.05,190.05,,,,,,,,
1,1,0,19.3,129.2,129.2,,,,,,,,
1,1,0,19.45,137.95,137.95,,,,,,,,
1,1,0,19.5,116.65,116.65,,,,,,,,
1,1,0,20.15,92.65,92.65,,,,,,,,
1,1,0,20.4,85.1,85.1,,,,,,,,
1,1,0,20.5,31.2,31.2,,,,,,,,
1,1,0,20.25,146.9,146.9,,,,,,,,
1,1,0,21.1,39.3,39.3,,,,,,,,
1,1,0,19.4,111.4,111.4,,,,,,,,
1,1,0,20.4,59.05,59.05,,,,,,,,
1,1,0,19.9,174.75,174.75,,,,,,,,
1,1,0,19.9,33.2,33.2,,,,,,,,
1,1,0,19.75,85.15,85.15,,,,,,,,
1,1,0,20.65,107.1,107.1,,,,,,,,
